Date,Close,Volume,W_Average
1983-07-04,167.0800018,316640000,160.139377
1983-07-11,164.2899933,347390000,160.7464088
1983-07-18,168.8899994,423130000,161.5925808
1983-07-25,162.5599976,437900000,161.9676344
1983-08-01,161.7400055,400760000,162.2426456
1983-08-08,162.1600037,378250000,162.5091404
1983-08-15,163.9799957,384010000,162.8596992
1983-08-22,162.1399994,347210000,163.0482583
1983-08-29,165,331620000,163.3834196
1983-09-05,166.9199982,338980000,163.8018926
1983-09-12,166.25,407310000,164.135699
1983-09-19,169.5099945,470190000,164.6405803
1983-09-26,166.0700073,387910000,164.8810109
1983-10-03,170.8000031,491110000,165.3999358
1983-10-10,169.8600006,361540000,165.8161509
1983-10-17,165.9499969,454240000,165.9371829
1983-10-24,163.3699951,408270000,165.8632041
1983-10-31,162.4400024,416560000,165.7068386
1983-11-07,166.2899933,380400000,165.778236
1983-11-14,165.0899963,417120000,165.7559993
1983-11-21,167.1799927,381190000,165.8585579
1983-11-28,165.4400024,499730000,165.8429452
1983-12-05,165.0800018,478500000,165.805526
1983-12-12,162.3899994,425600000,165.5941927
1983-12-19,163.2200012,435970000,165.4358702
1983-12-26,164.9299927,307860000,165.3905364
1984-01-02,169.2799988,481900000,165.6247515
1984-01-09,167.0200043,516530000,165.6989668
1984-01-16,166.2100067,487250000,165.7254619
1984-01-23,163.9400024,513350000,165.6145374
1984-01-30,160.9100037,544160000,165.3182366
1984-02-06,156.3000031,534030000,164.7377852
1984-02-13,155.7400055,423480000,164.1383877
1984-02-20,157.5099945,364810000,163.6814626
1984-02-27,159.2400055,473240000,163.3470113
1984-03-05,154.3500061,397340000,162.7024526
1984-03-12,159.2700043,461840000,162.3921088
1984-03-19,156.8600006,404790000,161.9364099
1984-03-26,159.1799927,400670000,161.6417427
1984-04-02,155.4799957,454890000,161.1208822
1984-04-09,157.3099976,426790000,160.7426885
1984-04-16,158.0200043,332920000,160.4295275
1984-04-23,159.8899994,430190000,160.2617209
1984-04-30,159.1100006,480860000,160.0568823
1984-05-07,158.4900055,439550000,159.8371837
1984-05-14,155.7799988,413940000,159.4670976
1984-05-21,151.6199951,421330000,158.8504951
1984-05-28,153.2400055,352650000,158.3636782
1984-06-04,155.1699982,414980000,158.021162
1984-06-11,149.0299988,385800000,157.3064307
1984-06-18,154.4600067,513770000,156.9765601
1984-06-25,153.1799927,402280000,156.5914628
1984-07-02,152.2400055,271140000,156.1720868
1984-07-09,150.8800049,399910000,155.6925816
1984-07-16,149.5500031,397270000,155.1520226
1984-07-23,151.1900024,434640000,154.7466679
1984-07-30,162.3500061,696040000,155.0908617
1984-08-06,165.4199982,754200000,155.6480228
1984-08-13,164.1399994,416420000,156.1260442
1984-08-20,167.5099945,472320000,156.8259362
1984-08-27,166.6799927,347180000,157.4646023
1984-09-03,164.3699951,307390000,157.9418278
1984-09-10,168.7799988,501590000,158.6862148
1984-09-17,165.6699982,529020000,159.2019136
1984-09-24,166.1000061,430660000,159.7278064
1984-10-01,162.6799927,415040000,160.0183006
1984-10-08,164.1799927,396680000,160.387655
1984-10-15,167.9600067,606660000,160.9903221
1984-10-22,165.2899933,441560000,161.3968593
1984-10-29,167.4199982,454400000,161.9276764
1984-11-05,167.6000061,468930000,162.4444295
1984-11-12,164.1000061,364010000,162.7132471
1984-11-19,166.9199982,308500000,163.1509244
1984-11-26,163.5800018,411730000,163.3579998
1984-12-03,162.2599945,442810000,163.4703005
1984-12-10,162.6900024,416000000,163.6022362
1984-12-17,165.5099945,592510000,163.9012466
1984-12-24,166.2599945,249420000,164.2187731
1984-12-31,163.6799927,314440000,164.341848
1985-01-07,167.9100037,509830000,164.7195257
1985-01-14,171.3200073,634000000,165.2766015
1985-01-21,177.3500061,749100000,166.1864513
1985-01-28,178.6300049,652000000,167.1269033
1985-02-04,182.1900024,666800000,168.2402798
1985-02-11,181.6000061,603800000,169.2482587
1985-02-18,179.3600006,406280000,170.0427964
1985-02-25,183.2299957,552240000,171.0264305
1985-03-04,179.1000061,543890000,171.6987105
1985-03-11,176.5299988,487250000,172.1757642
1985-03-18,179.0399933,515900000,172.7881079
1985-03-25,180.6600037,466150000,173.4801727
1985-04-01,179.0299988,373990000,174.0370113
1985-04-08,180.5399933,466760000,174.659742
1985-04-15,181.1100006,456870000,175.2939571
1985-04-22,182.1799927,483600000,175.9639997
1985-04-29,180.0800018,504830000,176.4639783
1985-05-06,184.2799988,538450000,177.1975051
1985-05-13,187.4199982,513310000,178.0903867
1985-05-20,188.2899933,564870000,178.9975476
1985-05-27,189.5500031,429540000,179.936537
1985-06-03,189.6799927,601130000,180.8363215
1985-06-10,187.1000061,487830000,181.5221714
1985-06-17,189.6100006,510270000,182.320494
1985-06-24,191.8500061,517770000,183.2145375
1985-07-01,192.5200043,368040000,184.0910109
1985-07-08,193.2899933,534030000,184.9520857
1985-07-15,195.1300049,642500000,185.8660645
1985-07-22,192.3999939,596040000,186.5402147
1985-07-29,191.4799957,531820000,187.098795
1985-08-05,188.3200073,468260000,187.3937202
1985-08-12,186.1000061,417430000,187.501527
1985-08-19,187.1699982,419910000,187.6465807
1985-08-26,188.6300049,408240000,187.86471
1985-09-02,188.2400055,356220000,188.0361727
1985-09-09,182.9100037,513450000,187.8507536
1985-09-16,182.0500031,486000000,187.6070334
1985-09-23,181.2899933,400890000,187.3084953
1985-09-30,183.2200012,609800000,187.1386459
1985-10-07,184.2799988,479140000,187.0283232
1985-10-14,187.0399933,553940000,187.0793981
1985-10-21,187.5200043,553580000,187.1442371
1985-10-28,191.5299988,579780000,187.4530327
1985-11-04,193.7200012,587600000,187.8762371
1985-11-11,198.1100006,662100000,188.5543231
1985-11-18,201.5200043,623700000,189.4158503
1985-11-25,202.1699982,442570000,190.2777211
1985-12-02,202.9900055,672900000,191.1449902
1985-12-09,209.9400024,827400000,192.4204097
1985-12-16,210.9400024,769600000,193.7119152
1985-12-23,209.6100006,329810000,194.8689044
1985-12-30,210.8800049,408630000,196.0646896
1986-01-06,205.9600067,732210000,196.8974641
1986-01-13,208.4299927,607600000,197.8490334
1986-01-20,206.4299927,604040000,198.6310974
1986-01-27,211.7799988,731200000,199.7269683
1986-02-03,214.5599976,745800000,200.9607745
1986-02-10,219.7599945,699700000,202.4843225
1986-02-17,224.6199951,629500000,204.2684512
1986-02-24,226.9199982,824100000,206.1316769
1986-03-03,225.5700073,794000000,207.8315913
1986-03-10,236.5500031,880900000,210.159785
1986-03-17,233.3399963,782600000,212.1723869
1986-03-24,238.9700012,622700000,214.4489246
1986-03-31,228.6900024,742600000,215.9539785
1986-04-07,235.9700012,756600000,217.8417205
1986-04-14,242.3800049,719200000,220.0289036
1986-04-21,242.2899933,736200000,222.0805376
1986-04-28,234.7899933,693000000,223.5171178
1986-05-05,237.8500061,626900000,225.0402149
1986-05-12,232.7599945,621800000,226.11972
1986-05-19,241.3500061,591040000,227.6550967
1986-05-26,247.3500061,567700000,229.4618068
1986-06-02,245.6699982,574100000,231.0400862
1986-06-09,245.7299957,626000000,232.510516
1986-06-16,247.5800018,630300000,233.9978924
1986-06-23,249.6000061,684100000,235.516538
1986-06-30,251.7899933,541100000,237.074473
1986-07-07,242.2200012,725900000,237.910043
1986-07-14,236.3600006,750100000,238.2981291
1986-07-21,240.2200012,644800000,238.8805808
1986-07-28,234.9100037,618000000,239.054624
1986-08-04,236.8800049,639300000,239.3040867
1986-08-11,247.1499939,661000000,240.1496347
1986-08-18,250.1900024,632000000,241.1080435
1986-08-25,252.9299927,654700000,242.1491183
1986-09-01,250.4700012,659800000,242.9429894
1986-09-08,230.6699982,909200000,242.382215
1986-09-15,232.2100067,713900000,241.8973337
1986-09-22,232.2299957,642900000,241.3974195
1986-09-29,233.7100067,640300000,240.9815704
1986-10-06,235.4799957,613550000,240.6624088
1986-10-13,238.8399963,597090000,240.5623225
1986-10-20,238.2599945,621400000,240.4129888
1986-10-27,243.9799957,784900000,240.6342144
1986-11-03,245.7700043,792200000,240.9380426
1986-11-10,244.5,737000000,241.1388598
1986-11-17,245.8600006,860700000,241.4228599
1986-11-24,249.2200012,550930000,241.9159568
1986-12-01,251.1699982,861000000,242.5038276
1986-12-08,247.3500061,690000000,242.8166022
1986-12-15,249.7299957,854100000,243.2515481
1986-12-22,246.9199982,490570000,243.4871824
1986-12-29,246.4499969,457080000,243.6934188
1987-01-05,258.730011,949600000,244.6902367
1987-01-12,266.2799988,1040800000,246.1461936
1987-01-19,270.1000061,1062900000,247.8083876
1987-01-26,274.0799866,895700000,249.6832684
1987-02-02,280.0400085,1038700000,251.8947314
1987-02-09,279.7000122,868800000,254.0029257
1987-02-16,285.480011,763300000,256.3908188
1987-02-23,284.2000122,814500000,258.5987981
1987-03-02,290.6600037,891300000,261.1175509
1987-03-09,289.8900146,852500000,263.4709712
1987-03-16,298.1700134,910400000,266.2666708
1987-03-23,296.1300049,930700000,268.8275742
1987-03-30,300.4100037,959200000,271.5717033
1987-04-06,292.4899902,889700000,273.697466
1987-04-13,286.9100037,835300000,275.3302833
1987-04-20,281.519989,868200000,276.4977233
1987-04-27,288.0299988,919600000,277.9791639
1987-05-04,293.3699951,906600000,279.6883033
1987-05-11,287.4299927,862800000,280.8897221
1987-05-18,282.1600037,857000000,281.6466469
1987-05-25,290.1000061,631200000,282.8214214
1987-06-01,293.4500122,736300000,284.1131425
1987-06-08,301.6199951,812000000,285.8294216
1987-06-15,306.9700012,888500000,287.7680236
1987-06-22,307.1600037,850200000,289.5874646
1987-06-29,305.6300049,619900000,291.1835938
1987-07-06,308.3699951,930700000,292.8393782
1987-07-13,314.5899963,961600000,294.7652273
1987-07-20,309.269989,851500000,296.2083662
1987-07-27,318.6600037,910700000,298.1232266
1987-08-03,323,971700000,300.1627963
1987-08-10,333.9899902,1114300000,302.7731827
1987-08-17,335.8999939,931600000,305.3611822
1987-08-24,327.0400085,879000000,307.2360644
1987-08-31,316.7000122,853500000,308.3299575
1987-09-07,321.980011,765600000,309.685657
1987-09-14,314.8599854,825100000,310.4910753
1987-09-21,320.1600037,900100000,311.5752475
1987-09-28,328.0700073,927000000,313.0924092
1987-10-05,311.0700073,878600000,313.4323451
1987-10-12,282.7000122,1123900000,311.8964103
1987-10-19,248.2200012,2299800000,308.1692276
1987-10-26,251.7899933,1409900000,304.7753992
1987-11-02,250.4100037,1060590000,301.3970983
1987-11-09,245.6399994,874050000,297.8015498
1987-11-16,242,817160000,294.0599154
1987-11-23,240.3399963,568820000,290.2961732
1987-11-30,223.9199982,956630000,285.5756354
1987-12-07,235.3200073,946040000,281.7399368
1987-12-14,249.1600037,1064470000,278.9092058
1987-12-21,252.0299988,666350000,276.3346035
1987-12-28,247.0800018,562170000,273.5225175
1988-01-04,243.3999939,933720000,270.5727321
1988-01-11,252.0500031,817240000,268.3062161
1988-01-18,246.5,775440000,265.799743
1988-01-25,257.0700073,968300000,264.1056574
1988-02-01,250.9600067,960650000,262.1218083
1988-02-08,257.6300049,897130000,260.691744
1988-02-15,261.6099854,643940000,259.6409473
1988-02-22,262.4599915,955470000,258.7474843
1988-02-29,267.2999878,1040390000,258.2871393
1988-03-07,264.9400024,998840000,257.7943223
1988-03-14,271.1199951,876320000,257.848709
1988-03-21,258.5100098,786280000,257.2288601
1988-03-28,258.8900146,587190000,256.780904
1988-04-04,269.4299927,854430000,257.137269
1988-04-11,259.769989,923860000,256.9834188
1988-04-18,260.1400146,775110000,256.9719143
1988-04-25,261.3299866,707360000,257.1662575
1988-05-02,257.480011,755630000,257.2557421
1988-05-09,256.7799988,765360000,257.4153119
1988-05-16,253.0200043,784040000,257.3880433
1988-05-23,253.4199982,678730000,257.3762582
1988-05-30,266.4500122,865310000,258.2016139
1988-06-06,271.2600098,1022070000,259.3027972
1988-06-13,270.6799927,1008190000,260.3114634
1988-06-20,273.7799988,854970000,261.4584525
1988-06-27,271.7799988,1042110000,262.4044954
1988-07-04,270.019989,653590000,263.1340645
1988-07-11,272.0499878,876000000,263.9199777
1988-07-18,263.5,750650000,264.105053
1988-07-25,272.019989,819900000,264.8151384
1988-08-01,271.1499939,779060000,265.4154606
1988-08-08,262.5499878,900420000,265.4012663
1988-08-15,260.2399902,723040000,265.2154593
1988-08-22,259.6799927,586470000,264.9639751
1988-08-29,264.480011,642410000,265.0165566
1988-09-05,266.8399963,552760000,265.1923199
1988-09-12,270.6499939,826910000,265.5940831
1988-09-19,269.7600098,701160000,265.9189871
1988-09-26,271.9100037,674690000,266.3669014
1988-10-03,278.0700073,833230000,267.2023213
1988-10-10,275.5,735170000,267.8436977
1988-10-17,283.6600037,853130000,269.0021065
1988-10-24,278.5299988,850170000,269.7754613
1988-10-31,276.3099976,752570000,270.3633537
1988-11-07,267.9200134,693090000,270.3951611
1988-11-14,266.4700012,680380000,270.3158924
1988-11-21,267.230011,431530000,270.2720437
1988-11-28,271.8099976,662700000,270.5109898
1988-12-05,277.0299988,709280000,271.0558929
1988-12-12,276.2900085,722150000,271.5095064
1988-12-19,277.8699951,702860000,272.0150115
1988-12-26,277.7200012,456620000,272.4582589
1989-01-02,280.6700134,613570000,273.0675932
1989-01-09,283.8699951,767870000,273.8631413
1989-01-16,286.6300049,806910000,274.8083889
1989-01-23,293.8200073,981990000,276.1898733
1989-01-30,296.9700012,933930000,277.7271852
1989-02-06,292.019989,955440000,278.8871845
1989-02-13,296.7600098,785320000,280.3100453
1989-02-20,287.1300049,616140000,281.0400885
1989-02-27,291.1799927,778310000,281.9989267
1989-03-06,292.8800049,798990000,283.0243678
1989-03-13,292.6900024,886440000,283.9723248
1989-03-20,288.980011,593590000,284.6111426
1989-03-27,294.8699951,734530000,285.5669485
1989-04-03,297.1600037,794700000,286.6051422
1989-04-10,301.3599854,747390000,287.8490981
1989-04-17,309.6099854,891980000,289.559269
1989-04-24,309.6400146,803180000,291.1856785
1989-05-01,307.6099854,816240000,292.5999785
1989-05-08,313.8399963,804330000,294.3526878
1989-05-15,321.2399902,963550000,296.5003646
1989-05-22,321.5899963,848890000,298.5898052
1989-05-29,325.519989,766610000,300.8401915
1989-06-05,326.6900024,950250000,303.0602347
1989-06-12,321.3500061,910860000,304.8093749
1989-06-19,328,842430000,306.8695254
1989-06-26,317.980011,810750000,308.1525369
1989-07-03,324.9100037,503460000,309.7833543
1989-07-10,331.8399963,801310000,311.7583003
1989-07-17,335.8999939,879520000,313.8757193
1989-07-24,342.1499939,898090000,316.2715684
1989-07-31,343.9200134,912130000,318.6430531
1989-08-07,344.7399902,1004030000,320.9314181
1989-08-14,346.0299988,744210000,323.1721063
