Date,Growth,Close,Volume,W_Average
1951-05-24,0,21.04999924,2580000,21.24966126
1951-05-25,0,21.03000069,1210000,21.25420454
1951-05-28,1,21.20999908,1240000,21.26040851
1951-05-29,1,21.35000038,1190000,21.26786872
1951-05-31,1,21.52000046,1220000,21.27688414
1951-06-01,0,21.47999954,9810000,21.28535031
1951-06-04,0,21.23999977,1100000,21.29126921
1951-06-05,1,21.32999992,1180000,21.29793687
1951-06-06,1,21.47999954,1200000,21.30594731
1951-06-07,1,21.55999947,1340000,21.31459755
1951-06-08,0,21.48999977,1000000,21.32240103
1951-06-11,1,21.61000061,1220000,21.33125875
1951-06-12,0,21.52000046,1200000,21.33907617
1951-06-13,1,21.54999924,1060000,21.34705078
1951-06-14,1,21.84000015,1300000,21.35777516
1951-06-15,1,22.04000092,1370000,21.37033786
1951-06-18,1,22.04999924,1050000,21.38282591
1951-06-19,0,22.02000046,1100000,21.39484034
1951-06-20,0,21.90999985,1120000,21.40558711
1951-06-21,0,21.78000069,1100000,21.41486721
1951-06-22,0,21.54999924,1340000,21.42169158
1951-06-25,0,21.29000092,2440000,21.42577965
1951-06-26,1,21.29999924,1260000,21.42983735
1951-06-27,1,21.37000084,1360000,21.43445428
1951-06-28,0,21.10000038,1940000,21.43624632
1951-06-29,0,20.95999908,1730000,21.4365284
1951-07-02,1,21.10000038,1350000,21.43808661
1951-07-03,1,21.22999954,1250000,21.4408274
1951-07-05,1,21.63999939,1410000,21.44754133
1951-07-06,0,21.63999939,1170000,21.45413286
1951-07-09,1,21.72999954,1110000,21.46150301
1951-07-10,0,21.62999916,990000,21.46776071
1951-07-11,1,21.68000031,970000,21.47440051
1951-07-12,1,21.79999924,1050000,21.48211145
1951-07-13,1,21.97999954,1320000,21.49149254
1951-07-16,0,21.72999954,1200000,21.4982597
1951-07-17,1,21.92000008,1280000,21.50680248
1951-07-18,0,21.87999916,1370000,21.51480894
1951-07-19,0,21.84000015,1120000,21.52229452
1951-07-20,1,21.87999916,1390000,21.53005769
1951-07-23,1,22.10000038,1320000,21.53988904
1951-07-24,1,22.44000053,1740000,21.55298357
1951-07-25,0,22.31999969,1870000,21.56474576
1951-07-26,1,22.46999931,1480000,21.57788505
1951-07-27,1,22.53000069,1450000,21.59149302
1951-07-30,1,22.62999916,1600000,21.6059761
1951-07-31,0,22.39999962,1550000,21.61803978
1951-08-01,1,22.51000023,1680000,21.63106764
1951-08-02,1,22.81999969,2130000,21.64704823
